,postal_code,State,City,CountyName,2021
478,77083,TX,Houston,Harris County,226165.0
479,75211,TX,Dallas,Dallas County,216449.0
480,30066,GA,Marietta,Cobb County,351297.0
481,21224,MD,Baltimore,Baltimore City,212372.0
482,97045,OR,Oregon City,Clackamas County,541463.0
483,92618,CA,Irvine,Orange County,1063984.0
484,85345,AZ,Peoria,Maricopa County,313681.0
485,78741,TX,Austin,Travis County,435742.0
486,92115,CA,San Diego,San Diego County,723648.0
487,83301,ID,Twin Falls,Twin Falls County,313072.0
488,63129,MO,Oakville,Saint Louis County,273645.0
489,6516,CT,West Haven,New Haven County,256129.0
490,1960,MA,Peabody,Essex County,573507.0
491,95355,CA,Modesto,Stanislaus County,437666.0
492,89110,NV,Las Vegas,Clark County,286917.0
493,11368,NY,New York,Queens County,583219.0
494,43015,OH,Delaware,Delaware County,306475.0
495,37027,TN,Brentwood,Williamson County,828810.0
496,85301,AZ,Glendale,Maricopa County,242819.0
497,85022,AZ,Phoenix,Maricopa County,394723.0
498,11203,NY,New York,Kings County,647326.0
499,55124,MN,Apple Valley,Dakota County,341951.0
500,94587,CA,Union City,Alameda County,1192068.0
501,60608,IL,Chicago,Cook County,326923.0
502,78664,TX,Round Rock,Williamson County,372327.0
503,33578,FL,Riverview,Hillsborough County,284367.0
504,33458,FL,Jupiter,Palm Beach County,464254.0
505,74133,OK,Tulsa,Tulsa County,234833.0
506,95670,CA,Rancho Cordova,Sacramento County,457087.0
507,11220,NY,New York,Kings County,761157.0
508,21061,MD,Glen Burnie,Anne Arundel County,315138.0
509,19104,PA,Philadelphia,Philadelphia County,212590.0
510,92646,CA,Huntington Beach,Orange County,1104711.0
511,10031,NY,New York,New York County,630511.0
512,42701,KY,Elizabethtown,Hardin County,209926.0
513,11216,NY,New York,Kings County,1151366.0
514,98632,WA,Longview,Cowlitz County,335014.0
515,28227,NC,Mint Hill,Mecklenburg County,299757.0
516,23322,VA,Chesapeake,Chesapeake City,423780.0
517,79924,TX,El Paso,El Paso County,140203.0
518,92620,CA,Irvine,Orange County,1156168.0
519,38305,TN,Jackson,Madison County,200090.0
520,78753,TX,Austin,Travis County,412885.0
521,70072,LA,Marrero,Jefferson Parish,192904.0
522,96706,HI,Ewa Beach,Honolulu County,762683.0
523,32825,FL,Orlando,Orange County,310322.0
524,97401,OR,Eugene,Lane County,463541.0
525,19067,PA,Lower Makefield Township,Bucks County,466894.0
526,75098,TX,Wylie,Collin County,363195.0
527,19134,PA,Philadelphia,Philadelphia County,112665.0
528,60148,IL,Lombard,DuPage County,294602.0
529,73013,OK,Edmond,Oklahoma County,260278.0
530,30101,GA,Acworth,Cobb County,348870.0
531,89074,NV,Henderson,Clark County,398896.0
532,30058,GA,Lithonia,Dekalb County,204697.0
533,32303,FL,Tallahassee,Leon County,182764.0
534,95014,CA,Cupertino,Santa Clara County,2643705.0
535,33414,FL,Wellington,Palm Beach County,483306.0
536,98208,WA,Everett,Snohomish County,650861.0
537,53704,WI,Madison,Dane County,282214.0
538,28655,NC,Morganton,Burke County,186529.0
539,92376,CA,Rialto,San Bernardino County,459511.0
540,43229,OH,Columbus,Franklin County,218761.0
541,95112,CA,San Jose,Santa Clara County,1012658.0
542,78253,TX,San Antonio,Bexar County,313949.0
543,85008,AZ,Phoenix,Maricopa County,324601.0
544,14094,NY,North Tonawanda,Niagara County,193658.0
545,28210,NC,Charlotte,Mecklenburg County,433633.0
546,45013,OH,Hamilton,Butler County,194286.0
547,45044,OH,Middletown,Butler County,187983.0
548,30083,GA,Stone Mountain,Dekalb County,211411.0
