,postal_code,State,City,CountyName,2016,2017,2018,2019,2020,2021
240,27834,NC,Greenville,Pitt County,99709,101843,107222,113309,122222,141848
241,90280,CA,South Gate,Los Angeles County,379045,406584,439766,451020,488398,558567
242,29072,SC,Lexington,Lexington County,208872,218257,224294,232907,241433,274206
243,46227,IN,Indianapolis,Marion County,124061,132797,145283,155320,168684,195145
244,32244,FL,Jacksonville,Duval County,133211,146973,161384,172653,184534,221797
245,21117,MD,Owings Mills,Baltimore County,254538,262797,269604,274304,283053,318609
246,10027,NY,New York,New York County,959567,952530,938874,923746,825430,824241
247,19111,PA,Philadelphia,Philadelphia County,159603,171411,185482,201569,216756,250754
248,90201,CA,Bell,Los Angeles County,373913,403802,437251,449575,487382,551369
249,91730,CA,Rancho Cucamonga,San Bernardino County,389092,413469,441931,452659,478629,573875
250,48103,MI,Ann Arbor,Washtenaw County,349578,367987,389786,400330,404930,436045
251,11236,NY,New York,Kings County,428483,464620,514693,540405,565584,599821
252,75206,TX,Dallas,Dallas County,365058,389891,416395,431053,436950,494644
253,90004,CA,Los Angeles,Los Angeles County,1117262,1185460,1299720,1317584,1379074,1547552
254,37128,TN,Murfreesboro,Rutherford County,221266,246418,267251,277993,292716,346719
255,92109,CA,San Diego,San Diego County,828604,894461,966882,988429,1045563,1222636
256,30062,GA,Marietta,Cobb County,311827,328889,345126,352954,368469,430576
257,60628,IL,Chicago,Cook County,81751,96365,113524,120039,125131,150054
258,7093,NJ,West New York,Hudson County,287146,305935,325921,341214,355882,363453
259,32822,FL,Orlando,Orange County,127116,143798,161772,176190,189631,219902
260,30331,GA,Atlanta,Fulton County,138211,150879,166736,182688,199077,243061
261,75217,TX,Dallas,Dallas County,87211,103397,123206,138984,150632,177963
262,2360,MA,Plymouth,Plymouth County,343640,359377,378662,386731,413247,485291
263,34953,FL,Port Saint Lucie,Saint Lucie County,194167,212621,229682,239922,251626,317162
264,37130,TN,Murfreesboro,Rutherford County,181601,200217,219757,231001,248287,292265
265,33186,FL,The Crossings,Miami-Dade County,282953,301556,320318,332841,345318,392867
266,2155,MA,Medford,Middlesex County,505902,554007,603254,612972,639479,707639
267,10701,NY,Yonkers,Westchester County,425393,448757,476941,491599,514198,561540
268,33012,FL,Hialeah,Miami-Dade County,205980,225769,244105,256567,268987,302251
269,91342,CA,Los Angeles,Los Angeles County,447404,478206,518200,529617,577793,676781
270,90706,CA,Bellflower,Los Angeles County,446129,479800,516118,521403,559905,638842
271,92335,CA,Fontana,San Bernardino County,292416,315029,342430,358360,383654,466332
272,95123,CA,San Jose,Santa Clara County,805802,881611,1048793,979237,1025226,1217963
273,92021,CA,El Cajon,San Diego County,428907,458940,486368,495805,536403,657566
274,32174,FL,Ormond Beach,Volusia County,211870,230743,245807,257655,269426,320893
275,22304,VA,Alexandria,Alexandria City,334613,343624,350545,367704,394624,416763
276,87121,NM,Albuquerque,Bernalillo County,135673,141205,147876,158371,173800,209531
277,11372,NY,New York,Queens County,369879,406629,453304,486343,474481,479910
278,22193,VA,Woodbridge,Prince William County,301788,315594,330606,339913,360546,415272
279,93065,CA,Simi Valley,Ventura County,536491,563778,590654,597503,627465,740222
280,27858,NC,Greenville,Pitt County,144875,150227,155476,162510,172593,198851
281,45840,OH,Findlay,Hancock County,124871,137696,145444,153268,166762,182058
282,60649,IL,Chicago,Cook County,125699,135264,137359,143284,144403,174337
283,33063,FL,Margate,Broward County,158521,173026,188953,198644,210122,243360
284,27703,NC,Durham,Durham County,193788,207665,227365,244740,257430,313396
285,23454,VA,Virginia Beach,Virginia Beach City,281137,288598,295135,301252,318064,358297
286,60626,IL,Chicago,Cook County,195790,205885,213852,214760,220894,237164
287,33064,FL,Pompano Beach,Broward County,172687,194019,215017,227467,241476,284898
288,48185,MI,Westland,Wayne County,123620,134349,145273,152418,162933,186072
289,92627,CA,Costa Mesa,Orange County,775053,818491,861756,871468,910291,1057786
290,33027,FL,Miramar,Broward County,272068,285737,301088,309923,323077,371454
291,85705,AZ,Tucson,Pima County,113984,125740,139024,150204,168954,217332
292,33311,FL,Fort Lauderdale,Broward County,153949,175125,201925,218275,234362,276326
293,8831,NJ,Monroe Township,Middlesex County,335939,352757,371492,378101,387617,433374
294,20147,VA,Ashburn,Loudoun County,475011,492262,512027,533337,560916,636987
