postal_code,City,State,CountyName,2021,total_restaurants,total_reviews,avg_rating,total_delivery,total_pickup,total_rest_reservation,total_price_1,total_price_2,total_price_3,total_price_4,total_0.0_stars,total_1.0_stars,total_1.5_stars,total_2.0_stars,total_2.5_stars,total_3.0_stars,total_3.5_stars,total_4.0_stars,total_4.5_stars,total_5.0_stars,num_rest_types
17018.0,Middle Paxton Township,PA,Dauphin County,216999.0,3,106.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5
17019.0,Carroll Township,PA,York County,280775.0,13,687.0,3.84615384615385,3.0,2.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,3.0,1.0,13
17020.0,Penn Township,PA,Perry County,207161.0,13,245.0,3.65384615384615,1.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,16
17022.0,Elizabethtown,PA,Lancaster County,269612.0,19,1017.0,3.73684210526316,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,1.0,2.0,24
17023.0,Washington Township,PA,Dauphin County,184846.0,7,40.0,3.57142857142857,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,9
17025.0,East Pennsboro Township,PA,Cumberland County,231045.0,12,628.0,4.125,10.0,2.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,20
17026.0,Bethel Township,PA,Lebanon County,259664.0,4,87.0,3.125,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6
17028.0,East Hanover Township,PA,Dauphin County,286137.0,9,285.0,3.55555555555556,1.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,11
17030.0,Lykens Township,PA,Dauphin County,146263.0,1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
17032.0,Halifax Township,PA,Dauphin County,224050.0,7,69.0,3.57142857142857,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,14
17033.0,Hershey,PA,Dauphin County,321502.0,54,8332.0,3.61111111111111,36.0,15.0,2.0,11.0,28.0,6.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,14.0,19.0,7.0,2.0,39
17034.0,Highspire,PA,Dauphin County,135673.0,2,94.0,4.5,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3
17036.0,Hummelstown,PA,Dauphin County,283458.0,18,1845.0,3.52777777777778,15.0,9.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,6.0,3.0,0.0,24
17038.0,Union Township,PA,Lebanon County,241870.0,11,252.0,2.90909090909091,3.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,3.0,0.0,0.0,13
17039.0,Heidelberg Township,PA,Lebanon County,209975.0,1,11.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
17040.0,Tyrone Township,PA,Perry County,212859.0,3,9.0,2.66666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5
17042.0,Lebanon,PA,Lebanon County,211044.0,77,1662.0,3.31168831168831,60.0,13.0,0.0,38.0,20.0,0.0,0.0,0.0,5.0,3.0,8.0,8.0,10.0,9.0,13.0,18.0,3.0,42
17043.0,Lemoyne,PA,Cumberland County,198340.0,17,1256.0,4.23529411764706,12.0,6.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,5.0,3.0,25
17045.0,Liverpool Township,PA,Perry County,199734.0,6,46.0,3.33333333333333,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,7
17046.0,Lebanon,PA,Lebanon County,176602.0,17,320.0,3.05882352941176,13.0,2.0,0.0,6.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,18
17047.0,Southwest Madison Township,PA,Perry County,232400.0,1,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
17048.0,Lykens Township,PA,Dauphin County,123483.0,3,8.0,3.16666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4
17050.0,Hampden Township,PA,Cumberland County,333259.0,12,942.0,3.875,9.0,5.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,0.0,19
17052.0,Cass Township,PA,Huntingdon County,112698.0,1,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
17053.0,Marysville,PA,Perry County,205399.0,5,93.0,3.5,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9
17055.0,Upper Allen Township,PA,Cumberland County,259708.0,8,371.0,3.75,8.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,14
17057.0,Lower Swatara Township,PA,Dauphin County,185884.0,10,752.0,4.0,8.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,15
