,postal_code,State,City,CountyName,2021
483,92618,CA,Irvine,Orange County,1063984
484,85345,AZ,Peoria,Maricopa County,313681
485,78741,TX,Austin,Travis County,435742
486,92115,CA,San Diego,San Diego County,723648
487,83301,ID,Twin Falls,Twin Falls County,313072
488,63129,MO,Oakville,Saint Louis County,273645
489,6516,CT,West Haven,New Haven County,256129
490,1960,MA,Peabody,Essex County,573507
491,95355,CA,Modesto,Stanislaus County,437666
492,89110,NV,Las Vegas,Clark County,286917
493,11368,NY,New York,Queens County,583219
494,43015,OH,Delaware,Delaware County,306475
495,37027,TN,Brentwood,Williamson County,828810
496,85301,AZ,Glendale,Maricopa County,242819
497,85022,AZ,Phoenix,Maricopa County,394723
498,11203,NY,New York,Kings County,647326
499,55124,MN,Apple Valley,Dakota County,341951
500,94587,CA,Union City,Alameda County,1192068
501,60608,IL,Chicago,Cook County,326923
502,78664,TX,Round Rock,Williamson County,372327
503,33578,FL,Riverview,Hillsborough County,284367
504,33458,FL,Jupiter,Palm Beach County,464254
505,74133,OK,Tulsa,Tulsa County,234833
506,95670,CA,Rancho Cordova,Sacramento County,457087
507,11220,NY,New York,Kings County,761157
508,21061,MD,Glen Burnie,Anne Arundel County,315138
509,19104,PA,Philadelphia,Philadelphia County,212590
510,92646,CA,Huntington Beach,Orange County,1104711
511,10031,NY,New York,New York County,630511
512,42701,KY,Elizabethtown,Hardin County,209926
513,11216,NY,New York,Kings County,1151366
514,98632,WA,Longview,Cowlitz County,335014
515,28227,NC,Mint Hill,Mecklenburg County,299757
516,23322,VA,Chesapeake,Chesapeake City,423780
517,79924,TX,El Paso,El Paso County,140203
518,92620,CA,Irvine,Orange County,1156168
519,38305,TN,Jackson,Madison County,200090
520,78753,TX,Austin,Travis County,412885
521,70072,LA,Marrero,Jefferson Parish,192904
522,96706,HI,Ewa Beach,Honolulu County,762683
523,32825,FL,Orlando,Orange County,310322
524,97401,OR,Eugene,Lane County,463541
525,19067,PA,Lower Makefield Township,Bucks County,466894
526,75098,TX,Wylie,Collin County,363195
527,19134,PA,Philadelphia,Philadelphia County,112665
528,60148,IL,Lombard,DuPage County,294602
529,73013,OK,Edmond,Oklahoma County,260278
530,30101,GA,Acworth,Cobb County,348870
531,89074,NV,Henderson,Clark County,398896
532,30058,GA,Lithonia,Dekalb County,204697
533,32303,FL,Tallahassee,Leon County,182764
534,95014,CA,Cupertino,Santa Clara County,2643705
535,33414,FL,Wellington,Palm Beach County,483306
536,98208,WA,Everett,Snohomish County,650861
537,53704,WI,Madison,Dane County,282214
