,zip_code,city,state,latitude,longitude,review_count,rating,categories,price,delivery,pickup,restaurant_reservation,price_value_1.0,price_value_2.0,price_value_3.0,price_value_4.0
441,10305,Staten Island,NY,40.61398,-74.06588,30,4.5,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]",0.0,1,1,0,0,0,0,0
442,11209,Brooklyn,NY,40.63539,-74.02602,339,4.5,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",2.0,1,1,0,0,1,0,0
443,10301,Staten Island,NY,40.63842,-74.07867,126,4.5,"[{'alias': 'mexican', 'title': 'Mexican'}]",1.0,1,0,0,1,0,0,0
444,10306,Staten Island,NY,40.575512,-74.127824,27,3.5,"[{'alias': 'pizza', 'title': 'Pizza'}]",1.0,1,0,0,1,0,0,0
445,10305,Staten Island,NY,40.586785,-74.091438,286,4.0,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]",2.0,1,1,0,0,1,0,0
446,11209,Brooklyn,NY,40.62452,-74.03091,182,4.0,"[{'alias': 'italian', 'title': 'Italian'}]",0.0,1,1,0,0,0,0,0
447,10301,Staten Island,NY,40.6307373046875,-74.1033935546875,345,4.5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]",1.0,1,1,0,1,0,0,0
448,10314,Staten Island,NY,40.6044,-74.12064,63,4.0,"[{'alias': 'newamerican', 'title': 'American (New)'}]",2.0,0,1,0,0,1,0,0
449,10304,STATEN ISLAND,NY,40.6296235,-74.0738894,6,5.0,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cafes', 'title': 'Cafes'}]",0.0,1,1,0,0,0,0,0
450,10305,Staten Island,NY,40.59856,-74.06565,65,4.0,"[{'alias': 'italian', 'title': 'Italian'}]",3.0,1,1,0,0,0,1,0
451,10304,Staten Island,NY,40.62973136455701,-74.07682411372662,13,4.0,"[{'alias': 'italian', 'title': 'Italian'}]",2.0,1,1,0,0,1,0,0
452,07002,Bayonne,NJ,40.6528775194062,-74.1276292592593,20,5.0,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'creperies', 'title': 'Creperies'}]",0.0,1,1,0,0,0,0,0
453,07202,Elizabeth,NJ,40.646354,-74.21267,31,4.5,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",0.0,1,1,0,0,0,0,0
454,10302,Staten Island,NY,40.6302266718896,-74.1402754933448,801,4.0,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",2.0,1,1,0,0,1,0,0
455,11209,Brooklyn,NY,40.623006,-74.031548,826,4.0,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]",2.0,1,1,0,0,1,0,0
456,11220,Brooklyn,NY,40.635841,-74.025738,204,4.5,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'brazilian', 'title': 'Brazilian'}]",2.0,1,1,0,0,1,0,0
457,10310,Staten Island,NY,40.6300965586102,-74.1085084206952,43,4.5,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}]",1.0,1,1,0,1,0,0,0
458,10305,Staten Island,NY,40.592724,-74.0868,132,3.5,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.0,1,1,0,0,1,0,0
459,10306,Staten Island,NY,40.568301,-74.126559,49,3.0,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",2.0,1,1,0,0,1,0,0
460,10306,Staten Island,NY,40.581292,-74.111488,205,3.5,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'lounges', 'title': 'Lounges'}]",2.0,1,1,0,0,1,0,0
461,10305,Staten Island,NY,40.615242,-74.066491,13,3.5,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'mexican', 'title': 'Mexican'}]",0.0,1,1,0,0,0,0,0
462,11209,Brooklyn,NY,40.6181,-74.03342,28,4.5,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}]",2.0,1,1,0,0,1,0,0
463,10305,Staten Island,NY,40.61251,-74.0651199,28,4.5,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",2.0,0,0,0,0,1,0,0
