,postal_code,stars_1.0,stars_1.5,stars_2.0,stars_2.5,stars_3.0,stars_3.5,stars_4.0,stars_4.5,stars_5.0,total_stars,stars_1.0_ratio,ratio_stars_1.0,ratio_stars_1.5,ratio_stars_2.0,ratio_stars_2.5,ratio_stars_3.0,ratio_stars_3.5,ratio_stars_4.0,ratio_stars_4.5,ratio_stars_5.0
120,18927,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
121,18928,0,0,0,0,1,0,0,2,0,3.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
122,18929,0,0,0,1,2,3,4,1,1,12.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.08333333333333333,0.08333333333333333
123,18931,0,0,0,2,1,1,4,2,0,10.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.4,0.2,0.0
124,18932,0,0,0,0,2,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125,18936,0,1,0,1,3,3,3,2,0,13.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.0
126,18938,0,1,1,4,12,9,13,12,2,54.0,0.0,0.0,0.018518518518518517,0.018518518518518517,0.07407407407407407,0.2222222222222222,0.16666666666666666,0.24074074074074073,0.2222222222222222,0.037037037037037035
127,18940,0,0,2,2,13,16,21,12,0,66.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.19696969696969696,0.24242424242424243,0.3181818181818182,0.18181818181818182,0.0
128,18944,0,0,0,2,6,6,9,6,0,29.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.20689655172413793,0.20689655172413793,0.3103448275862069,0.20689655172413793,0.0
129,18946,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
130,18947,1,0,0,0,2,3,4,2,0,12.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666,0.0
131,18949,0,0,0,0,1,2,1,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0
132,18951,0,0,2,0,1,3,7,10,1,24.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.041666666666666664,0.125,0.2916666666666667,0.4166666666666667,0.041666666666666664
133,18954,0,0,1,2,4,3,9,5,0,24.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.16666666666666666,0.125,0.375,0.20833333333333334,0.0
134,18960,0,0,0,0,0,7,7,0,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
135,18962,0,0,0,0,1,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
136,18964,0,0,0,6,5,5,9,5,0,30.0,0.0,0.0,0.0,0.0,0.2,0.16666666666666666,0.16666666666666666,0.3,0.16666666666666666,0.0
137,18966,0,0,2,3,10,8,17,6,3,49.0,0.0,0.0,0.0,0.04081632653061224,0.061224489795918366,0.20408163265306123,0.16326530612244897,0.3469387755102041,0.12244897959183673,0.061224489795918366
138,18969,0,0,0,1,0,3,6,3,1,14.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.21428571428571427,0.42857142857142855,0.21428571428571427,0.07142857142857142
139,18974,0,1,5,6,14,18,14,13,0,71.0,0.0,0.0,0.014084507042253521,0.07042253521126761,0.08450704225352113,0.19718309859154928,0.2535211267605634,0.19718309859154928,0.18309859154929578,0.0
140,18976,0,2,1,4,7,9,13,5,1,42.0,0.0,0.0,0.047619047619047616,0.023809523809523808,0.09523809523809523,0.16666666666666666,0.21428571428571427,0.30952380952380953,0.11904761904761904,0.023809523809523808
141,18977,0,0,0,0,0,1,3,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.2,0.0
142,18979,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
143,18984,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
144,19001,0,1,4,1,5,11,7,5,2,36.0,0.0,0.0,0.027777777777777776,0.1111111111111111,0.027777777777777776,0.1388888888888889,0.3055555555555556,0.19444444444444445,0.1388888888888889,0.05555555555555555
145,19002,0,2,2,1,7,13,18,14,2,59.0,0.0,0.0,0.03389830508474576,0.03389830508474576,0.01694915254237288,0.11864406779661017,0.22033898305084745,0.3050847457627119,0.23728813559322035,0.03389830508474576
146,19003,0,1,1,4,1,21,28,10,3,69.0,0.0,0.0,0.014492753623188406,0.014492753623188406,0.057971014492753624,0.014492753623188406,0.30434782608695654,0.4057971014492754,0.14492753623188406,0.043478260869565216
147,19004,0,1,3,2,6,9,7,4,1,33.0,0.0,0.0,0.030303030303030304,0.09090909090909091,0.06060606060606061,0.18181818181818182,0.2727272727272727,0.21212121212121213,0.12121212121212122,0.030303030303030304
148,19006,1,1,0,1,4,8,12,5,1,33.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.12121212121212122,0.24242424242424243,0.36363636363636365,0.15151515151515152,0.030303030303030304
149,19007,0,3,0,4,8,1,11,8,1,36.0,0.0,0.0,0.08333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.027777777777777776,0.3055555555555556,0.2222222222222222,0.027777777777777776
150,19008,0,1,3,5,4,8,9,5,0,35.0,0.0,0.0,0.02857142857142857,0.08571428571428572,0.14285714285714285,0.11428571428571428,0.22857142857142856,0.2571428571428571,0.14285714285714285,0.0
151,19009,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
