postal_code,State,City,CountyName,2021
30058,GA,Lithonia,Dekalb County,204697
32303,FL,Tallahassee,Leon County,182764
95014,CA,Cupertino,Santa Clara County,2643705
33414,FL,Wellington,Palm Beach County,483306
98208,WA,Everett,Snohomish County,650861
53704,WI,Madison,Dane County,282214
28655,NC,Morganton,Burke County,186529
92376,CA,Rialto,San Bernardino County,459511
43229,OH,Columbus,Franklin County,218761
95112,CA,San Jose,Santa Clara County,1012658
78253,TX,San Antonio,Bexar County,313949
85008,AZ,Phoenix,Maricopa County,324601
14094,NY,North Tonawanda,Niagara County,193658
28210,NC,Charlotte,Mecklenburg County,433633
45013,OH,Hamilton,Butler County,194286
45044,OH,Middletown,Butler County,187983
30083,GA,Stone Mountain,Dekalb County,211411
89103,NV,Las Vegas,Clark County,222912
32771,FL,Sanford,Seminole County,286370
12180,NY,Troy,Rensselaer County,223331
94080,CA,South San Francisco,San Mateo County,1238313
92648,CA,Huntington Beach,Orange County,1239075
92130,CA,San Diego,San Diego County,1595447
80016,CO,Aurora,Arapahoe County,689596
27265,NC,High Point,Guilford County,228548
92105,CA,San Diego,San Diego County,610025
33433,FL,Boca Raton,Palm Beach County,379434
84404,UT,Ogden,Weber County,372778
79424,TX,Lubbock,Lubbock County,254260
47150,IN,New Albany,Floyd County,187704
41042,KY,Florence,Boone County,218359
92122,CA,San Diego,San Diego County,936361
77373,TX,Spring,Harris County,203948
67401,KS,Salina,Saline County,149673
23455,VA,Virginia Beach,Virginia Beach City,358894
20910,MD,Silver Spring,Montgomery County,671109
29483,SC,Summerville,Dorchester County,289572
39759,MS,Starkville,Oktibbeha County,197092
85255,AZ,Scottsdale,Maricopa County,1001104
8759,NJ,Manchester Township,Ocean County,240906
2135,MA,Boston,Suffolk County,564734
95648,CA,Lincoln,Placer County,602254
19148,PA,Philadelphia,Philadelphia County,266855
22407,VA,Fredericksburg,Spotsylvania County,355916
29588,SC,Socastee,Horry County,241635
33015,FL,Country Club,Miami-Dade County,329974
11354,NY,New York,Queens County,672346
30047,GA,Lilburn,Gwinnett County,316086
48439,MI,Grand Blanc,Genesee County,238984
92563,CA,Murrieta,Riverside County,592803
77070,TX,Houston,Harris County,253755
27407,NC,Greensboro,Guilford County,186300
53711,WI,Madison,Dane County,377643
75204,TX,Dallas,Dallas County,434940
7305,NJ,Jersey City,Hudson County,423034
7047,NJ,North Bergen Township,Hudson County,450185
90036,CA,Los Angeles,Los Angeles County,1962094
94112,CA,San Francisco,San Francisco County,1254959
33463,FL,Greenacres,Palm Beach County,309006
75068,TX,Little Elm,Denton County,359243
76137,TX,Fort Worth,Tarrant County,279715
89147,NV,Las Vegas,Clark County,349060
78759,TX,Austin,Travis County,720414
45140,OH,Loveland,Clermont County,328416
28025,NC,Concord,Cabarrus County,270031
94087,CA,Sunnyvale,Santa Clara County,2402314
27603,NC,Raleigh,Wake County,335205
30075,GA,Roswell,Fulton County,538174
2151,MA,Revere,Suffolk County,503572
97124,OR,Hillsboro,Washington County,503344
10014,NY,New York,New York County,2016291
95125,CA,San Jose,Santa Clara County,1611620
38654,MS,Olive Branch,DeSoto County,279722
90640,CA,Montebello,Los Angeles County,660130
75071,TX,McKinney,Collin County,437407
33436,FL,Boynton Beach,Palm Beach County,339972
98109,WA,Seattle,King County,807662
1201,MA,Pittsfield,Berkshire County,228158
83709,ID,Boise,Ada County,472545
63301,MO,Saint Charles,Saint Charles County,243629
8873,NJ,Franklin Township,Somerset County,404570
20904,MD,Silver Spring,Montgomery County,520469
6511,CT,New Haven,New Haven County,258674
19702,DE,Newark,New Castle County,281949
98034,WA,Kirkland,King County,881113
76051,TX,Grapevine,Tarrant County,442652
54601,WI,La Crosse,La Crosse County,205577
34668,FL,Port Richey,Pasco County,180810
78640,TX,Kyle,Hays County,321892
92562,CA,Murrieta,Riverside County,587636
96815,HI,Honolulu,Honolulu County,479987
19131,PA,Philadelphia,Philadelphia County,171241
6457,CT,Middletown,Middlesex County,254207
2780,MA,Taunton,Bristol County,395221
17601,PA,Manheim Township,Lancaster County,317944
19711,DE,Newark,New Castle County,342876
27529,NC,Garner,Wake County,309273
47130,IN,Jeffersonville,Clark County,196773
79928,TX,Horizon City,El Paso County,189480
8527,NJ,Jackson Township,Ocean County,448317
22192,VA,Woodbridge,Prince William County,437405
33141,FL,Miami Beach,Miami-Dade County,315000
22201,VA,Arlington,Arlington County,707179
30067,GA,Marietta,Cobb County,355030
30114,GA,Canton,Cherokee County,356707
59102,MT,Billings,Yellowstone County,293641
60004,IL,Arlington Heights,Cook County,389592
45040,OH,Mason,Warren County,361928
48038,MI,Clinton,Macomb County,252942
92117,CA,San Diego,San Diego County,906614
7306,NJ,Jersey City,Hudson County,493981
33324,FL,Plantation,Broward County,289316
85201,AZ,Mesa,Maricopa County,298091
78209,TX,San Antonio,Bexar County,464491
94086,CA,Sunnyvale,Santa Clara County,1818056
32137,FL,Palm Coast,Flagler County,342599
27106,NC,Winston-Salem,Forsyth County,250955
11746,NY,Huntington,Suffolk County,703305
80504,CO,Longmont,Boulder County,535569
94806,CA,San Pablo,Contra Costa County,594486
10451,NY,New York,New York County,337945
33178,FL,Doral,Miami-Dade County,395830
19144,PA,Philadelphia,Philadelphia County,194984
23112,VA,Midlothian,Chesterfield County,335298
48066,MI,Roseville,Macomb County,143829
92128,CA,San Diego,San Diego County,832575
80219,CO,Denver,Denver County,426345
33021,FL,Hollywood,Broward County,356156
72034,AR,Conway,Faulkner County,210657
94591,CA,Vallejo,Solano County,587000
91801,CA,Alhambra,Los Angeles County,788755
34748,FL,Leesburg,Lake County,227277
29229,SC,Columbia,Richland County,207049
19380,PA,West Chester,Chester County,484240
78223,TX,San Antonio,Bexar County,185007
91331,CA,Los Angeles,Los Angeles County,634317
30907,GA,Martinez,Columbia County,207495
