,postal_code,state_id,state,city,county_name,2021,All_Residential,Multi_Family_homes,Condo/Co-op,Single_Family_Homes,Towmhomes
14895,12305,NY,New York,Schenectady,Schenectady,234401.0,12,4,10,12,6
14896,3223,NH,New Hampshire,Campton,Grafton,230919.0,12,2,12,12,11
14897,74601,OK,Oklahoma,Ponca City,Kay,129868.0,10,0,0,10,0
14898,43223,OH,Ohio,Columbus,Franklin,125208.0,12,12,12,12,0
14899,76273,TX,Texas,Whitesboro,Grayson,283080.0,12,4,0,12,0
14900,74037,OK,Oklahoma,Jenks,Tulsa,267275.0,12,3,3,12,3
14901,95388,CA,California,Winton,Merced,295461.0,12,5,0,12,3
14902,37080,TN,Tennessee,Joelton,Davidson,342846.0,12,3,0,12,0
14903,83537,ID,Idaho,Kendrick,Latah,357414.0,11,0,0,11,0
14904,3856,NH,New Hampshire,Newfields,Rockingham,641288.0,12,1,0,12,3
14905,33592,FL,Florida,Thonotosassa,Hillsborough,281276.0,12,5,6,12,0
14906,55089,MN,Minnesota,Welch,Goodhue,436596.0,12,0,0,12,0
14907,48051,MI,Michigan,New Baltimore,Macomb,249095.0,12,0,12,12,0
14908,40504,KY,Kentucky,Lexington,Fayette,169993.0,12,11,12,12,11
14909,11784,NY,New York,Selden,Suffolk,348313.0,12,3,12,12,0
14910,78010,TX,Texas,Center Point,Kerr,471369.0,6,0,0,6,0
14911,83624,ID,Idaho,Grand View,Owyhee,255438.0,8,0,0,8,0
14912,77303,TX,Texas,Conroe,Montgomery,252162.0,12,0,0,12,0
14913,86335,AZ,Arizona,Rimrock,Yavapai,275520.0,12,0,0,12,1
14914,95452,CA,California,Kenwood,Sonoma,2459688.0,11,2,0,11,0
14915,70805,LA,Louisiana,Baton Rouge,East Baton Rouge,64295.0,12,7,0,12,0
14916,37022,TN,Tennessee,Bethpage,Sumner,297903.0,12,0,0,12,0
14917,61720,IL,Illinois,Anchor,McLean,83500.0,5,0,0,5,0
14918,80241,CO,Colorado,Thornton,Adams,421398.0,12,0,12,12,12
14919,5261,VT,Vermont,Pownal,Bennington,208763.0,12,3,1,12,0
14920,11935,NY,New York,Cutchogue,Suffolk,878688.0,12,0,0,12,0
14921,28262,NC,North Carolina,Charlotte,Mecklenburg,274673.0,12,3,12,12,12
14922,64024,MO,Missouri,Excelsior Springs,Clay,166385.0,12,12,0,12,0
14923,68154,NE,Nebraska,Omaha,Douglas,241011.0,12,0,10,12,12
14924,17214,PA,Pennsylvania,Blue Ridge Summit,Franklin,189019.0,12,3,0,11,0
14925,74741,OK,Oklahoma,Hendrix,Bryan,254445.0,11,0,0,11,0
14926,78114,TX,Texas,Floresville,Wilson,365194.0,12,0,0,12,0
14927,12527,NY,New York,Glenham,Dutchess,292000.0,3,0,0,3,0
14928,50054,IA,Iowa,Colfax,Jasper,150015.0,12,0,0,12,2
14929,53233,WI,Wisconsin,Milwaukee,Milwaukee,159619.0,11,10,0,11,0
14930,13072,NY,New York,Georgetown,Madison,245000.0,3,0,0,3,0
14931,37043,TN,Tennessee,Clarksville,Montgomery,276507.0,12,12,12,12,12
14932,47102,IN,Indiana,Austin,Scott,134058.0,12,0,0,12,0
14933,92114,CA,California,San Diego,San Diego,594203.0,12,12,12,12,5
14934,6002,CT,Connecticut,Bloomfield,Hartford,231477.0,12,6,12,12,0
14935,63134,MO,Missouri,Saint Louis,St. Louis,84746.0,12,0,0,12,0
14936,94579,CA,California,San Leandro,Alameda,726071.0,12,3,7,12,8
14937,7645,NJ,New Jersey,Montvale,Bergen,613930.0,12,3,12,12,12
14938,95726,CA,California,Pollock Pines,El Dorado,425962.0,12,9,0,12,0
14939,38486,TN,Tennessee,Westpoint,Lawrence,264769.0,8,0,0,8,0
14940,33584,FL,Florida,Seffner,Hillsborough,245893.0,12,11,3,12,12
14941,50111,IA,Iowa,Grimes,Polk,271250.0,12,0,12,12,0
14942,78703,TX,Texas,Austin,Travis,1067814.0,12,12,12,12,8
14943,66018,KS,Kansas,De Soto,Johnson,320176.0,12,0,0,12,7
14944,49276,MI,Michigan,Riga,Lenawee,167859.0,11,0,0,11,0
14945,68310,NE,Nebraska,Beatrice,Gage,153494.0,12,11,0,12,11
14946,31097,GA,Georgia,Yatesville,Upson,223328.0,9,0,0,9,0
14947,20194,VA,Virginia,Reston,Fairfax,609071.0,12,0,12,12,12
14948,31038,GA,Georgia,Hillsboro,Jasper,319375.0,8,0,0,8,0
14949,55040,MN,Minnesota,Isanti,Isanti,250745.0,12,3,6,12,12
14950,38751,MS,Mississippi,Indianola,Sunflower,162500.0,6,0,0,6,0
14951,31050,GA,Georgia,Knoxville,Crawford,182000.0,3,0,0,3,0
14952,64429,MO,Missouri,Cameron,Clinton,229924.0,12,9,0,12,6
14953,29926,SC,South Carolina,Hilton Head Island,Beaufort,526000.0,3,0,0,3,0
14954,30454,GA,Georgia,Rockledge,Laurens,270000.0,3,0,0,3,0
14955,1843,MA,Massachusetts,Lawrence,Essex,390013.0,12,12,11,12,12
14956,36271,AL,Alabama,Ohatchee,Calhoun,215060.0,12,0,0,12,0
14957,72070,AR,Arkansas,Houston,Perry,135220.0,12,0,0,12,0
14958,4011,ME,Maine,Brunswick,Cumberland,323433.0,12,11,12,12,11
14959,31204,GA,Georgia,Macon,Bibb,92952.0,12,12,4,12,9
14960,84107,UT,Utah,Salt Lake City,Salt Lake,418802.0,12,11,12,12,12
14961,1519,MA,Massachusetts,Grafton,Worcester,474351.0,12,0,3,12,12
14962,90302,CA,California,Inglewood,Los Angeles,652808.0,12,12,12,12,12
14963,64454,MO,Missouri,Gower,Clinton,270225.0,12,0,0,12,0
14964,21774,MD,Maryland,New Market,Frederick,426285.0,12,0,12,12,12
14965,47954,IN,Indiana,Ladoga,Montgomery,150850.0,12,0,0,12,0
14966,63136,MO,Missouri,Saint Louis,St. Louis,56546.0,12,3,6,12,0
14967,75492,TX,Texas,Windom,Fannin,192500.0,9,0,0,9,0
14968,4006,ME,Maine,Biddeford Pool,York,2711094.0,8,0,0,8,0
14969,13037,NY,New York,Chittenango,Madison,155014.0,12,9,0,12,0
14970,60133,IL,Illinois,Hanover Park,Cook,231438.0,12,8,12,12,12
14971,79606,TX,Texas,Abilene,Taylor,242742.0,12,5,3,12,5
14972,34681,FL,Florida,Crystal Beach,Pinellas,680000.0,1,0,0,1,0
14973,8350,NJ,New Jersey,Richland,Atlantic,190823.0,12,2,0,12,0
14974,29472,SC,South Carolina,Ridgeville,Dorchester,366793.0,12,0,0,12,0
