,postal_code,Total population,Sex ratio (males per 100 females),Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Total housing units
1176,11229,83119,93.1,40.8,53002,5100,209,19113,43,3259,2393,33428
1180,11230,86139,93.9,33.9,61252,6413,339,11468,27,4050,2590,32571
1184,11231,37874,83.9,35.9,25113,5796,215,2223,303,2304,1920,16965
1188,11232,26430,112.7,34.2,11848,1901,391,4907,18,6195,1170,9344
1192,11233,79439,85.9,33.2,8700,61160,89,1538,17,6161,1774,32997
1196,11234,93534,88.1,40.7,38573,42348,293,6783,0,4004,1533,33959
1200,11235,78775,92.2,44.2,59438,1713,76,10771,0,3857,2920,35130
1204,11236,100844,77,38,5775,86706,118,2713,11,4102,1419,36197
1208,11237,48876,106.5,30.7,18175,6757,583,3343,47,18071,1900,18343
1212,11238,55210,86.2,36.1,27542,18830,40,3299,19,2317,3163,26932
1216,11239,12772,65.8,50.6,3791,7496,256,488,0,585,156,6983
1220,11351,0,0,0,0,0,0,0,0,0,0,0
1224,11354,53684,85.1,45.5,10711,1713,107,34396,8,5093,1656,22186
1228,11355,80987,92.1,43.1,10048,2719,433,58782,35,7250,1720,30725
1232,11356,23494,95.4,38.5,7399,561,44,7571,75,6765,1079,8204
1236,11357,39407,90.2,46.7,27025,244,41,9171,14,1933,979,15957
1240,11358,36515,96.5,44.4,15172,304,171,17375,0,2503,990,13887
1244,11359,0,0,0,0,0,0,0,0,0,0,0
1248,11360,18954,80.6,49.4,10811,219,23,7017,0,593,291,9444
1252,11361,27201,95.6,43.8,13200,1183,8,11247,0,1171,392,11072
1256,11362,18343,90,50.3,8956,621,0,7647,0,609,510,7491
1260,11363,7096,91.9,46.4,4095,138,0,2389,0,293,181,2858
1264,11364,36215,94.9,44.9,14497,1384,302,18209,4,1104,715,14245
1268,11365,44738,88.4,41.4,14880,4265,176,19867,15,3415,2120,16362
1272,11366,14360,87.9,40.6,6008,840,0,6321,0,762,429,4968
1276,11367,41207,95.2,36.6,22536,3001,209,11241,0,2328,1892,15720
1280,11368,112088,109.4,32.9,40843,10366,895,13625,12,43424,2923,30735
1284,11369,31481,101.1,38.9,8171,5397,102,4135,6,12573,1097,13026
1288,11370,31580,143.4,37.6,13290,4531,391,7167,0,5534,667,10809
1292,11371,0,0,0,0,0,0,0,0,0,0,0
1296,11372,62854,100.1,40.6,34205,1730,222,13225,80,11092,2300,26159
1300,11373,94437,98.2,38.2,16903,1895,653,46005,10,26706,2265,33837
1304,11374,43507,87.4,42.3,23243,1845,45,13737,0,2261,2376,21041
1308,11375,73034,86.9,43,43828,1971,146,21035,0,2464,3590,35376
1312,11377,83825,103.8,40.5,39603,2524,353,31122,0,7509,2714,33648
1316,11378,38524,94.4,38.2,27692,703,152,3957,29,4627,1364,13889
1320,11379,37991,89.2,41.9,29573,420,116,4190,0,2707,985,14419
1324,11385,107796,98.8,35.2,87264,2824,185,7028,0,7658,2837,38571
1328,11411,20719,87.3,44.8,671,19237,14,56,0,442,299,6483
1332,11412,37857,84.8,40.9,948,33267,272,973,91,1572,734,11865
1336,11413,41650,87,40,1007,38093,151,506,57,1237,599,13060
1340,11414,28313,93.3,46.6,22791,747,0,1199,0,2006,1570,11383
1344,11415,18891,92.4,40.2,11463,1320,208,3067,15,2108,710,9461
1348,11416,26744,100.7,35.8,7567,1663,14,8845,29,6727,1899,7715
1352,11417,31321,88.2,38,11329,2269,77,9455,6,6506,1679,9648
1356,11418,38405,102.7,36.1,15161,3200,333,9044,0,8348,2319,11770
1360,11419,48369,101.5,38.4,4634,7719,435,16613,33,15819,3116,12948
1364,11420,47470,99,39.7,7922,12055,470,15520,118,8569,2816,14321
1368,11421,41251,100.3,37.8,17077,1756,271,8187,0,11037,2923,12477
1372,11422,32761,82.9,40,2096,27544,345,730,0,1280,766,10575
1376,11423,30104,95.2,40.9,3917,11708,111,8641,0,4398,1329,10396
1380,11424,0,0,0,0,0,0,0,0,0,0,0
1384,11425,0,0,0,0,0,0,0,0,0,0,0
1388,11426,20524,97.7,38.5,7599,1237,86,8988,0,1784,830,6544
1392,11427,24560,99.7,41.8,6581,5113,294,8277,0,3112,1183,8112
1396,11428,18836,96.9,41.7,3951,4032,78,4926,43,3706,2100,6054
1400,11429,27454,87.3,39.6,1079,20058,229,1242,33,3992,821,7662
1404,11430,206,0,47.9,34,139,0,6,0,27,0,0
1408,11432,64299,87.9,36.1,12002,10384,418,27346,133,10966,3050,20071
1412,11433,37021,84.1,35.1,1588,23854,17,3580,12,7126,844,11506
1416,11434,64304,82.1,38.7,2321,55241,32,2000,0,3126,1584,22875
1420,11435,59605,99.7,35.7,10640,14557,411,13922,6,17749,2320,19818
1424,11436,19167,98.2,37.9,989,12051,46,1739,0,3257,1085,5875
1428,11451,0,0,0,0,0,0,0,0,0,0,0
1432,11501,19621,97.8,42,14168,489,10,2367,0,2142,445,7999
1436,11507,7225,102.6,47.6,4382,132,74,2428,0,52,157,2551
1440,11509,1920,101.3,55.1,1812,29,13,21,0,18,27,1265
1444,11510,33299,95.3,42.5,17254,11304,39,1383,37,1560,1722,11222
1448,11514,4694,95,41.6,3378,149,0,453,0,573,141,1765
1452,11516,7372,87.8,30.8,6849,105,0,134,0,256,28,2468
1456,11518,9969,98.1,42.3,8615,402,12,572,0,200,168,4429
1460,11520,43438,88.3,38.7,18842,12993,72,588,3,5226,5714,14907
1464,11530,28460,93.6,42.4,25257,547,0,1475,0,682,499,9897
1468,11542,27893,92.3,40.5,18983,2275,285,1430,0,4162,758,10689
1472,11545,12604,108.1,46.3,10523,252,0,1054,0,646,129,4640
1480,11548,2922,85.4,24,1702,211,0,767,0,161,81,571
1484,11549,2803,69.8,20,1817,390,0,275,0,69,252,0
