,postal_code,Total population,Sex ratio (males per 100 females),Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Total housing units
6044,14210,14249,97.4,35.1,11464,1321,300,183,0,418,563,7111
6048,14211,22495,82.4,34.1,3386,15725,93,1824,0,469,998,12085
6052,14212,10715,92.1,34.3,4626,3675,58,1424,0,514,418,6029
6056,14213,23113,110.3,29.6,10420,4930,209,3097,0,2962,1495,11027
6060,14214,19492,101.8,31,9973,6317,97,1847,57,607,594,9048
6064,14215,41435,78.2,31.8,6138,31471,34,1229,33,920,1610,18774
6068,14216,22289,93.5,35.5,16223,3213,64,529,0,1418,842,11520
6072,14217,22975,85.8,44,20779,1225,70,243,7,90,561,11653
6076,14218,18952,92.4,37.5,15110,2045,59,130,29,622,957,8888
6080,14219,12000,93.1,40.8,11532,85,49,0,0,170,164,5879
6084,14220,22623,96.2,36.9,20401,594,29,193,47,684,675,10577
6088,14221,53948,88.6,47.1,46753,1738,93,4229,0,360,775,24486
6092,14222,14114,99,31.4,10133,2351,33,722,0,561,314,7876
6096,14223,22225,92,40.6,20006,1389,44,196,0,296,294,10323
6100,14224,40815,92.1,46.1,39716,399,36,192,8,119,345,18831
6104,14225,33091,88.8,38.3,26500,4752,32,601,0,358,848,15951
6108,14226,30644,86.4,36.6,23387,3529,184,1928,24,218,1374,13553
6112,14227,21497,93.7,48.9,19857,953,19,501,0,45,122,10753
6116,14228,21839,99.8,33.9,16416,1716,144,2747,33,240,543,10277
6120,14261,5702,113.5,19.5,3210,753,0,1188,4,289,258,4
6124,14301,12704,87,36,7250,3972,132,105,19,132,1094,7440
6132,14303,5582,99.6,34.4,3781,987,202,192,14,44,362,3483
6136,14304,29262,95.8,45.8,26245,861,396,576,19,211,954,14056
6140,14305,16767,79.7,36.6,10397,5283,135,124,0,205,623,8508
6144,14411,13776,102.2,40.2,11323,1662,21,67,0,240,463,5572
6148,14414,7017,101.5,45.1,6738,7,34,125,0,16,97,3202
6156,14416,3535,105.8,45,3341,27,1,19,0,32,115,1470
6160,14418,1176,88.5,56.1,1176,0,0,0,0,0,0,891
6164,14420,21006,92.5,30.9,19002,788,6,404,10,399,397,7602
6168,14422,2221,85.2,45.8,2146,22,6,21,0,0,26,965
6172,14423,4559,89.8,41.4,4201,90,0,87,0,56,125,1974
6176,14424,27880,95,47,26571,409,107,155,23,289,326,13895
6180,14425,12049,87.7,36.4,11096,526,65,140,13,38,171,5009
6184,14427,1943,102.2,43.1,1844,0,0,0,0,6,93,1009
6188,14428,7208,98.8,46.4,7064,70,0,16,0,0,58,2992
6192,14432,5875,96.7,46,5796,19,0,3,0,9,48,2459
6196,14433,4141,106.7,39.3,3996,62,3,1,0,20,59,1739
6200,14435,2773,96.8,49.2,2702,40,7,4,0,0,20,1674
6204,14437,11220,139.5,42.3,9748,891,38,16,0,314,213,4491
6212,14445,7716,103,35.3,6761,394,119,39,12,71,320,3651
6216,14450,41546,93.4,46.9,38478,613,71,1549,12,158,665,18222
6220,14454,11206,82.5,21.8,10292,327,12,325,0,83,167,3777
6224,14456,19473,96,36.6,15475,1505,117,842,0,851,683,8554
6232,14464,7462,100.8,40,7226,124,0,7,0,6,99,2964
6236,14466,1576,127.7,55.5,1531,0,0,0,0,31,14,810
6240,14467,10098,100.3,42.6,7815,1281,14,628,0,186,174,4173
6244,14468,17913,98,42.3,17148,562,0,34,0,44,125,7375
6248,14469,5983,98,49,5911,30,0,0,0,11,31,2845
6252,14470,7406,98.9,47.2,7011,145,22,77,0,0,151,3347
6256,14471,2458,106.2,50.6,2335,36,0,5,0,0,82,1916
6260,14472,8713,101.3,45.8,8496,52,0,64,0,0,101,3530
6268,14476,2250,102.3,45.8,2210,10,12,0,0,8,10,1070
6272,14477,1411,108.1,47.5,1366,21,13,0,0,0,11,683
6276,14478,1501,74.7,20.3,1333,37,29,51,0,51,0,570
6288,14481,1699,104.7,47.1,1616,8,12,17,0,0,46,835
6292,14482,8303,102.4,38.8,7962,183,6,47,0,0,105,3641
6296,14485,4010,97.4,43.1,3784,21,0,75,0,83,47,1845
6304,14487,6159,93.3,44.2,5784,10,15,92,30,0,228,2733
6308,14489,7113,92.6,45.5,6391,454,3,28,0,49,188,3163
6312,14502,10733,94.9,42.3,10199,105,0,246,8,14,161,4466
6316,14504,1839,99,38.1,1802,3,5,0,0,0,29,818
6320,14505,5002,99,43.7,4660,126,0,0,0,21,195,2208
6324,14506,1317,93.1,49.4,1306,0,11,0,0,0,0,616
6328,14507,1157,86.9,44.6,1079,35,0,8,0,4,31,869
6332,14510,4929,106,45.5,4472,277,9,0,0,114,57,2364
6340,14512,4418,94.4,50.6,4316,14,0,34,6,5,43,2662
6344,14513,13938,90.8,43.8,12281,665,55,157,31,293,456,6149
6348,14514,6724,84.9,42.8,5947,380,7,51,15,0,324,2757
6352,14516,2392,100.8,43.6,2247,60,0,16,0,55,14,1056
6356,14517,2931,99.5,45.3,2789,54,0,86,0,0,2,1317
6360,14519,11723,99.8,44.1,11193,170,3,138,0,42,177,5311
6364,14521,2405,102.3,37.7,2311,34,13,0,0,24,23,1289
6368,14522,9005,99.4,47.2,8691,61,5,39,0,72,137,4228
6372,14525,2424,99.7,45.7,2298,37,19,0,0,61,9,1048
6376,14526,19973,83.9,45.9,18048,591,32,855,0,60,387,8693
6380,14527,12745,89.2,43.1,12361,128,14,89,0,10,143,6969
6388,14530,5306,104.8,41.1,4728,142,18,38,0,154,226,2824
6392,14532,4273,97.7,41.7,4236,3,0,10,0,11,13,1883
6396,14533,2206,115.2,36.7,2061,9,0,3,0,114,19,879
6400,14534,31615,95.2,45.9,27479,537,0,2461,25,134,979,12325
6408,14537,147,86.1,39.3,147,0,0,0,0,0,0,59
6416,14541,4075,239.3,35.7,2809,1013,27,0,3,120,103,1289
6424,14543,3203,118,50.2,3058,75,0,36,0,0,34,1264
6428,14544,1954,97.6,44.2,1901,7,4,0,0,0,42,1224
6436,14546,4702,102.1,41.6,4421,198,0,36,0,14,33,2293
6440,14548,3826,100.6,48.1,3631,25,13,0,0,137,20,1682
6448,14550,1491,90.2,41.1,1378,27,42,16,0,0,28,767
6452,14551,5152,109.8,46.1,4593,340,16,35,5,51,112,2585
6456,14555,1004,109.2,59.8,944,24,0,0,0,12,24,993
6460,14559,18930,95.9,42.8,18265,273,5,97,0,77,213,7436
6464,14560,2176,104.9,44.2,2151,4,0,0,0,15,6,1136
6468,14561,3014,106.3,38.6,3000,4,0,10,0,0,0,1267
6472,14564,15082,93,43.1,14139,154,81,295,0,78,335,6420
6476,14568,6232,100.4,40.1,5932,8,0,20,0,226,46,2384
6480,14569,5896,94.8,44.1,5505,96,0,19,0,49,227,2743
6484,14571,1350,124.6,47,1232,94,8,0,0,16,0,770
6488,14572,4640,92,48.1,4506,35,14,0,0,18,67,2501
6492,14580,52585,91.7,45.7,48271,1334,43,1696,0,344,897,22782
6500,14586,11875,92.6,35.8,8515,1335,24,1614,0,150,237,4510
6508,14589,7605,97.2,40.9,6915,218,31,3,61,187,190,3395
6512,14590,5316,103.4,43.3,5027,173,20,18,0,19,59,3318
6516,14591,1592,121.4,42.1,1582,0,0,0,0,1,9,686
6520,14592,64,39.1,63.2,64,0,0,0,0,0,0,27
6524,14604,2364,112,44.3,1401,763,0,59,0,40,101,2230
6528,14605,11932,80.3,27.5,3959,6248,93,270,15,801,546,5246
6532,14606,28296,95.1,36.2,17750,6388,747,1619,0,609,1183,12564
6536,14607,16521,98.3,30.5,13818,1680,6,504,0,212,301,10525
6540,14608,11542,89.5,30.5,3512,6809,141,332,0,239,509,6339
6544,14609,41168,91.4,35.5,22285,14307,155,405,8,2245,1763,19686
6548,14610,13760,89.3,45.5,12014,676,15,425,0,200,430,7401
6552,14611,16962,89.3,30.5,4704,10954,117,112,0,375,700,8107
6556,14612,34116,97.6,44.9,29276,2596,73,640,0,811,720,15670
6560,14613,15381,105.1,28.9,5878,7175,5,922,144,341,916,6142
6564,14614,1215,887.8,29.9,490,683,9,9,0,17,7,97
6568,14615,16963,96.6,35.5,11048,4133,9,789,0,355,629,7728
6572,14616,26948,83.6,41.2,22230,2738,85,600,6,241,1048,12377
6576,14617,22774,90.4,44.1,20493,1245,55,288,0,144,549,10141
6580,14618,22597,82.6,38.8,18855,998,60,1780,27,117,760,8722
6584,14619,13642,84.6,34.4,3147,9789,121,47,0,75,463,6203
6588,14620,23835,103.5,32.6,17382,3259,74,2100,0,351,669,12409
6592,14621,33066,84.7,33.5,13205,14320,624,539,0,2569,1809,14749
6596,14622,11939,95,47,10258,695,21,155,16,549,245,5848
6600,14623,25893,102.8,27,18275,2945,137,3566,0,363,607,9294
6604,14624,36570,92.8,43.2,30111,4239,96,773,0,329,1022,15128
6608,14625,10262,94.2,49.7,9795,56,33,126,0,91,161,4828
6612,14626,30292,92.1,46.7,25265,2272,32,1095,0,345,1283,13303
6616,14627,2348,118.4,19.4,1691,215,0,373,0,15,54,0
6620,14701,39214,94.2,41,35281,1322,48,160,20,1264,1119,19741
6624,14706,6163,83,47.2,5804,56,91,87,0,28,97,2975
6636,14709,1389,119.1,47.6,1331,4,0,31,0,4,19,944
6640,14710,3443,109.2,48.4,3382,0,0,38,0,9,14,2301
6644,14711,1814,113.2,33.8,1730,2,6,16,0,10,50,1054
6648,14712,3044,103.3,50.9,2993,42,0,0,9,0,0,2249
6656,14715,2733,97.5,39.8,2686,4,23,7,0,0,13,1430
6660,14716,2623,137.6,34.2,2068,262,48,15,0,223,7,990
6664,14717,509,130.3,57.8,489,0,16,0,0,0,4,1002
6668,14718,2041,118.5,45.2,1771,175,3,26,0,46,20,944
6672,14719,3459,99.3,44.9,3307,14,16,4,0,69,49,1826
6684,14722,244,105,19.7,159,34,0,8,0,20,23,1245
6688,14723,1109,102.7,37.5,1099,2,0,2,0,0,6,656
6692,14724,2405,107,35.1,2351,0,0,6,0,34,14,1531
6696,14726,1892,108.6,25.1,1879,0,2,0,0,0,11,801
6700,14727,5386,101.6,46.5,5280,4,15,16,0,4,67,3528
6712,14731,1125,95,53.2,1085,0,13,0,0,1,26,2684
6720,14733,3646,99.2,35.8,3565,31,0,1,12,15,22,1756
6724,14735,2981,95,42.2,2944,0,20,0,0,12,5,1679
6732,14737,4322,106,44.7,4192,6,31,2,0,18,73,2612
6736,14738,3252,92.7,52.8,3218,34,0,0,0,0,0,1878
6740,14739,2740,103.7,43.1,2641,30,0,23,0,0,46,1773
6744,14740,1105,97.7,59.9,1091,0,0,0,0,0,14,628
6748,14741,1900,107,45.6,1845,0,5,7,0,0,43,1289
6756,14743,1784,97.8,44.6,1621,122,8,0,0,0,33,979
6760,14744,2175,86.9,20.9,1939,86,6,100,0,24,20,533
6764,14747,2243,106.9,43,2218,4,11,0,0,0,10,1114
6772,14750,4419,77.9,48.2,4271,8,0,37,0,28,75,2468
6780,14753,1082,101.1,48.8,1058,3,7,0,0,8,6,573
6788,14755,3011,107.2,42.9,2776,67,73,0,0,59,36,1655
6792,14756,28,180,0,28,0,0,0,0,0,0,202
6796,14757,3323,101.6,43.1,3153,102,3,0,5,57,3,2584
6800,14760,17640,96.9,44,16254,485,191,301,0,1,408,9280
6804,14767,2138,120.6,32.4,2074,0,0,2,0,48,14,825
6808,14769,1124,95.1,44,1115,2,0,0,0,0,7,551
6812,14770,2926,91.4,41.4,2854,0,10,14,0,11,37,1407
6816,14772,4075,99.3,39.1,3961,11,45,4,0,3,51,1906
6824,14775,2545,114.8,43.4,2453,18,6,5,0,33,30,1259
6832,14778,1354,110.6,19.7,1061,120,3,70,0,71,29,0
6836,14779,6606,91.6,36.1,4652,156,1258,37,0,112,391,3335
6840,14781,2089,96.2,39.4,2034,0,7,3,0,0,45,995
6844,14782,2270,96.7,39.6,2187,29,3,9,0,0,42,1101
6856,14787,4704,91.5,50.7,4561,0,0,121,0,22,0,2527
6860,14788,44,238.5,49.6,41,1,1,0,0,1,0,13
6864,14801,5328,109.8,39.5,5218,20,0,3,0,56,31,2433
6868,14802,4235,128.8,20.1,3453,371,20,204,0,113,74,500
6876,14804,1435,103.3,41.6,1352,3,0,51,6,0,23,915
6880,14805,1065,95.1,43.4,1038,23,0,0,0,0,4,510
6884,14806,2121,110.4,45.1,2114,0,0,0,0,2,5,1112
6888,14807,3138,101.2,41,3045,5,14,7,0,28,39,1470
6896,14809,2284,106.7,47.2,2179,15,0,8,3,53,26,1227
6900,14810,12067,97.9,47.4,11274,529,34,63,0,59,108,6159
6904,14812,3525,95.9,37.3,3371,5,13,8,0,32,96,1476
6908,14813,2351,108.2,43.4,2178,129,0,2,0,9,33,1341
6912,14814,1942,104.9,38,1931,11,0,0,0,0,0,740
6924,14817,2658,83.3,32.4,2153,113,0,65,0,0,327,1004
6928,14818,2176,103.7,52.5,2099,0,0,9,0,0,68,1217
6940,14821,3471,107.6,48.3,3408,7,9,35,0,2,10,1565
6948,14823,3624,107.4,44.6,3556,15,0,8,0,5,40,2022
6960,14826,1957,97.9,45.1,1869,15,0,0,0,2,71,1148
6968,14830,19521,91.2,39.8,18361,553,11,242,0,109,245,9494
6976,14837,5786,94.2,42.7,5593,57,4,15,0,46,71,3116
6980,14838,1917,109.3,48.2,1881,9,0,14,0,9,4,858
6988,14840,2631,104.9,57.9,2548,35,8,0,0,9,31,2967
6996,14842,1123,118.5,39,1123,0,0,0,0,0,0,628
7000,14843,12814,106.6,40.6,12086,146,16,172,0,53,341,6234
7004,14845,20011,92.8,45.8,18224,482,0,714,0,44,547,9171
7012,14847,2398,89.9,44.8,2259,21,5,14,5,5,89,1354
7016,14850,64221,96.1,27.7,47398,2679,161,9336,57,1323,3267,28053
7020,14853,2656,94,19.4,1879,350,13,143,0,179,92,0
7024,14854,12,0,0,12,0,0,0,0,0,0,12
7032,14856,300,33.9,23.4,300,0,0,0,0,0,0,137
7036,14858,1281,117.5,43.6,1258,0,0,2,0,0,21,622
7044,14860,1204,93.6,47.6,1186,9,3,4,0,2,0,925
7048,14861,1125,86.6,53.2,1125,0,0,0,0,0,0,653
7052,14864,1197,121.3,51,1118,0,0,2,0,49,28,590
7056,14865,2874,88,48,2804,49,0,0,0,13,8,1300
7060,14867,5676,114.4,43.6,5430,157,0,0,0,0,89,2576
7064,14869,1259,118.2,50.6,1231,4,0,0,0,0,24,547
7068,14870,9468,98.4,41.8,8193,226,0,818,0,34,197,4292
7072,14871,4980,110.4,51.6,4670,,4,2,0,23,97,2093
7080,14873,2574,106.7,42.1,2414,15,0,68,0,14,63,1748
7096,14879,1998,98,46.5,1859,10,3,43,0,11,72,1037
7100,14880,1640,96.2,45.2,1590,3,0,20,0,6,21,1056
7108,14882,4066,97.5,42.4,3776,19,0,84,0,36,151,1751
7112,14883,4726,106.7,39.5,4376,148,7,33,0,76,86,2153
7124,14886,6713,99.3,46.5,6459,80,28,14,0,0,132,3191
7128,14889,1539,99.9,39.9,1517,11,4,7,0,0,0,715
7132,14891,4276,98.4,44.8,4007,74,0,103,0,12,80,2177
7136,14892,8022,102,40.3,7771,75,0,42,5,0,129,3533
7140,14893,0,0,0,0,0,0,0,0,0,0,24
7144,14894,1246,96.5,45.3,1216,6,0,0,0,0,24,554
7148,14895,9144,90.8,47.9,8961,64,10,18,9,26,56,5106
7156,14898,2018,93.1,28.2,1992,0,0,0,0,0,26,809
7160,14901,15855,112.5,34.4,11797,2656,213,131,5,128,925,6328
7164,14903,7600,106.4,46,7219,101,0,54,0,24,202,3851
7168,14904,15176,92.1,36.3,13055,1304,24,28,0,134,631,7315
7172,14905,8407,80.8,43,7329,553,0,146,7,167,205,4288
